brand,model,approx_price_EUR,primary_camera,secondary_camera,WLAN,bluetooth,sensors,colors,internal_memory,release_year,release_month/quarter,removable/non-removable,battery_type,battery_current,display_resolution,display_size,GPRS,EDGE,dimentions,SIM,CPU,Chipset,GPU,memory_card,RAM,GPS,OS,label
72.0,1168.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,465.0,127.0,2010.0,9.0,1.0,9.0,0.0,16.0,58.0,12.0,4.0,426.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1168.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,82.0,127.0,2010.0,9.0,1.0,9.0,0.0,16.0,58.0,12.0,4.0,426.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1180.0,162.02877697841726,16.0,4.0,0.0,4.0,8.0,577.0,35.0,2010.0,9.0,1.0,9.0,0.0,21.0,58.0,1.0,4.0,426.0,11.0,84.0,16.0,4.0,55.0,18.0,2.0,63.0,1.0
72.0,1158.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,492.0,127.0,2010.0,9.0,1.0,9.0,0.0,5.0,205.0,12.0,4.0,733.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1158.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,82.0,127.0,2010.0,9.0,1.0,9.0,0.0,5.0,205.0,12.0,4.0,733.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1158.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,165.0,127.0,2010.0,9.0,1.0,9.0,0.0,5.0,205.0,12.0,4.0,733.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1158.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,12.0,127.0,2010.0,9.0,1.0,9.0,0.0,5.0,205.0,12.0,4.0,733.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1166.0,20.0,14.0,4.0,0.0,8.0,8.0,492.0,127.0,2010.0,9.0,1.0,9.0,0.0,21.0,58.0,12.0,4.0,306.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1166.0,20.0,14.0,4.0,0.0,8.0,8.0,165.0,127.0,2010.0,9.0,1.0,9.0,0.0,21.0,58.0,12.0,4.0,306.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1166.0,20.0,14.0,4.0,0.0,8.0,8.0,192.0,127.0,2010.0,9.0,1.0,9.0,0.0,21.0,58.0,12.0,4.0,306.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1166.0,20.0,14.0,4.0,0.0,8.0,8.0,106.0,127.0,2010.0,9.0,1.0,9.0,0.0,21.0,58.0,12.0,4.0,306.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1156.0,20.0,14.0,4.0,0.0,8.0,8.0,492.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,306.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1156.0,20.0,14.0,4.0,0.0,8.0,8.0,165.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,306.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1156.0,20.0,14.0,4.0,0.0,8.0,8.0,192.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,306.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1156.0,20.0,14.0,4.0,0.0,8.0,8.0,106.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,306.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1173.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,449.0,127.0,2010.0,9.0,1.0,9.0,0.0,16.0,58.0,1.0,4.0,1305.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1173.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,235.0,127.0,2010.0,9.0,1.0,9.0,0.0,16.0,58.0,1.0,4.0,1305.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1177.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,400.0,93.0,2010.0,9.0,1.0,9.0,0.0,44.0,75.0,1.0,4.0,1332.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1165.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,411.0,127.0,2010.0,9.0,1.0,9.0,0.0,4.0,214.0,12.0,4.0,1482.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
